metric: gmean, units: ms
+------------------------------------------+---------+-------------+---------------------+
| name of test                             |  AVX2   | AVX512_SKX  | AVX512_SKX vs AVX2  |
| bitwise_or::256    L::1 L::1 -> L::1     | 0.0001  |   0.0000    |        1.59         |
| bitwise_or::4096   L::1 L::1 -> L::1     | 0.0014  |   0.0011    |        1.27         |
| bitwise_or::16384  L::1 L::1 -> L::1     | 0.0062  |   0.0044    |        1.41         |
| bitwise_or::256    Q::1 Q::1 -> Q::1     | 0.0001  |   0.0000    |        1.52         |
| bitwise_or::4096   Q::1 Q::1 -> Q::1     | 0.0013  |   0.0010    |        1.25         |
| bitwise_or::16384  Q::1 Q::1 -> Q::1     | 0.0056  |   0.0044    |        1.28         |
| bitwise_or::256    b::1 b::1 -> b::1     | 0.0000  |   0.0001    |        0.69         |
| bitwise_or::4096   b::1 b::1 -> b::1     | 0.0002  |   0.0001    |        1.31         |
| bitwise_or::16384  b::1 b::1 -> b::1     | 0.0007  |   0.0006    |        1.24         |
| bitwise_or::256    h::1 h::1 -> h::1     | 0.0000  |   0.0000    |        1.36         |
| bitwise_or::4096   h::1 h::1 -> h::1     | 0.0003  |   0.0002    |        1.43         |
| bitwise_or::16384  h::1 h::1 -> h::1     | 0.0014  |   0.0011    |        1.28         |
| bitwise_or::256    i::1 i::1 -> i::1     | 0.0000  |   0.0000    |        2.01         |
| bitwise_or::4096   i::1 i::1 -> i::1     | 0.0007  |   0.0006    |        1.26         |
| bitwise_or::16384  i::1 i::1 -> i::1     | 0.0024  |   0.0022    |        1.08         |
| bitwise_or::256    l::1 l::1 -> l::1     | 0.0001  |   0.0000    |        1.53         |
| bitwise_or::4096   l::1 l::1 -> l::1     | 0.0014  |   0.0011    |        1.28         |
| bitwise_or::16384  l::1 l::1 -> l::1     | 0.0056  |   0.0046    |        1.21         |
| bitwise_or::256    q::1 q::1 -> q::1     | 0.0001  |   0.0000    |        1.41         |
| bitwise_or::4096   q::1 q::1 -> q::1     | 0.0014  |   0.0011    |        1.27         |
| bitwise_or::16384  q::1 q::1 -> q::1     | 0.0056  |   0.0047    |         1.2         |
| bitwise_xor::256    B::1 B::1 -> B::1    | 0.0000  |   0.0000    |        0.84         |
| bitwise_xor::4096   B::1 B::1 -> B::1    | 0.0001  |   0.0001    |        1.12         |
| bitwise_xor::16384  B::1 B::1 -> B::1    | 0.0007  |   0.0006    |        1.23         |
| bitwise_xor::256    H::1 H::1 -> H::1    | 0.0000  |   0.0000    |        1.06         |
| bitwise_xor::4096   H::1 H::1 -> H::1    | 0.0003  |   0.0002    |        1.38         |
| bitwise_xor::16384  H::1 H::1 -> H::1    | 0.0014  |   0.0011    |        1.26         |
| bitwise_xor::256    I::1 I::1 -> I::1    | 0.0000  |   0.0000    |        1.89         |
| bitwise_xor::4096   I::1 I::1 -> I::1    | 0.0007  |   0.0006    |        1.25         |
| bitwise_xor::16384  I::1 I::1 -> I::1    | 0.0028  |   0.0022    |        1.27         |
| bitwise_xor::256    L::1 L::1 -> L::1    | 0.0001  |   0.0000    |        1.57         |
| bitwise_xor::4096   L::1 L::1 -> L::1    | 0.0014  |   0.0011    |        1.27         |
| bitwise_xor::16384  L::1 L::1 -> L::1    | 0.0062  |   0.0044    |        1.41         |
| bitwise_xor::256    Q::1 Q::1 -> Q::1    | 0.0001  |   0.0000    |        1.49         |
| bitwise_xor::4096   Q::1 Q::1 -> Q::1    | 0.0013  |   0.0010    |        1.26         |
| bitwise_xor::16384  Q::1 Q::1 -> Q::1    | 0.0056  |   0.0044    |        1.28         |
| bitwise_xor::256    b::1 b::1 -> b::1    | 0.0000  |   0.0000    |        0.74         |
| bitwise_xor::4096   b::1 b::1 -> b::1    | 0.0002  |   0.0001    |        1.32         |
| bitwise_xor::16384  b::1 b::1 -> b::1    | 0.0007  |   0.0006    |        1.25         |
| bitwise_xor::256    h::1 h::1 -> h::1    | 0.0000  |   0.0000    |        1.31         |
| bitwise_xor::4096   h::1 h::1 -> h::1    | 0.0003  |   0.0002    |        1.41         |
| bitwise_xor::16384  h::1 h::1 -> h::1    | 0.0014  |   0.0011    |        1.27         |
| bitwise_xor::256    i::1 i::1 -> i::1    | 0.0000  |   0.0000    |        1.65         |
| bitwise_xor::4096   i::1 i::1 -> i::1    | 0.0007  |   0.0006    |        1.25         |
| bitwise_xor::16384  i::1 i::1 -> i::1    | 0.0024  |   0.0022    |        1.07         |
| bitwise_xor::256    l::1 l::1 -> l::1    | 0.0001  |   0.0000    |        1.51         |
| bitwise_xor::4096   l::1 l::1 -> l::1    | 0.0014  |   0.0011    |        1.27         |
| bitwise_xor::16384  l::1 l::1 -> l::1    | 0.0056  |   0.0046    |        1.21         |
| bitwise_xor::256    q::1 q::1 -> q::1    | 0.0001  |   0.0000    |        1.54         |
| bitwise_xor::4096   q::1 q::1 -> q::1    | 0.0014  |   0.0011    |        1.27         |
| bitwise_xor::16384  q::1 q::1 -> q::1    | 0.0056  |   0.0047    |         1.2         |
| conjugate::256    B::1 -> B::1           | 0.0000  |   0.0000    |        0.61         |
| conjugate::4096   B::1 -> B::1           | 0.0001  |   0.0001    |        1.21         |
| conjugate::16384  B::1 -> B::1           | 0.0004  |   0.0003    |        1.32         |
| conjugate::256    H::1 -> H::1           | 0.0000  |   0.0000    |        0.76         |
| conjugate::4096   H::1 -> H::1           | 0.0002  |   0.0001    |        1.14         |
| conjugate::16384  H::1 -> H::1           | 0.0009  |   0.0008    |        1.14         |
| conjugate::256    I::1 -> I::1           | 0.0000  |   0.0000    |        2.04         |
| conjugate::4096   I::1 -> I::1           | 0.0004  |   0.0003    |        1.34         |
| conjugate::16384  I::1 -> I::1           | 0.0019  |   0.0017    |        1.12         |
| conjugate::256    L::1 -> L::1           | 0.0000  |   0.0000    |        1.41         |
| conjugate::4096   L::1 -> L::1           | 0.0009  |   0.0008    |        1.12         |
| conjugate::16384  L::1 -> L::1           | 0.0037  |   0.0033    |        1.12         |
| conjugate::256    Q::1 -> Q::1           | 0.0000  |   0.0000    |        1.52         |
| conjugate::4096   Q::1 -> Q::1           | 0.0009  |   0.0008    |        1.13         |
| conjugate::16384  Q::1 -> Q::1           | 0.0037  |   0.0033    |        1.11         |
| conjugate::256    b::1 -> b::1           | 0.0000  |   0.0000    |        0.77         |
| conjugate::4096   b::1 -> b::1           | 0.0001  |   0.0001    |        1.33         |
| conjugate::16384  b::1 -> b::1           | 0.0004  |   0.0003    |        1.28         |
| conjugate::256    h::1 -> h::1           | 0.0000  |   0.0000    |        1.24         |
| conjugate::4096   h::1 -> h::1           | 0.0002  |   0.0001    |        1.19         |
| conjugate::16384  h::1 -> h::1           | 0.0009  |   0.0008    |        1.12         |
| conjugate::256    i::1 -> i::1           | 0.0000  |   0.0000    |        1.39         |
| conjugate::4096   i::1 -> i::1           | 0.0004  |   0.0003    |        1.39         |
| conjugate::16384  i::1 -> i::1           | 0.0019  |   0.0014    |        1.37         |
| conjugate::256    l::1 -> l::1           | 0.0000  |   0.0000    |        1.61         |
| conjugate::4096   l::1 -> l::1           | 0.0009  |   0.0008    |        1.13         |
| conjugate::16384  l::1 -> l::1           | 0.0037  |   0.0033    |        1.13         |
| conjugate::256    q::1 -> q::1           | 0.0000  |   0.0000    |        1.63         |
| conjugate::4096   q::1 -> q::1           | 0.0009  |   0.0008    |        1.13         |
| conjugate::16384  q::1 -> q::1           | 0.0037  |   0.0033    |        1.12         |
| equal::256    B::1 B::1 -> ?::1          | 0.0000  |   0.0001    |        0.78         |
| equal::4096   B::1 B::1 -> ?::1          | 0.0001  |   0.0001    |        1.26         |
| equal::16384  B::1 B::1 -> ?::1          | 0.0006  |   0.0005    |        1.12         |
| equal::256    H::1 H::1 -> ?::1          | 0.0000  |   0.0001    |        0.72         |
| equal::4096   H::1 H::1 -> ?::1          | 0.0002  |   0.0002    |        1.22         |
| equal::16384  H::1 H::1 -> ?::1          | 0.0012  |   0.0008    |        1.38         |
| equal::256    I::1 I::1 -> ?::1          | 0.0001  |   0.0000    |        2.08         |
| equal::4096   I::1 I::1 -> ?::1          | 0.0005  |   0.0004    |        1.43         |
| equal::16384  I::1 I::1 -> ?::1          | 0.0022  |   0.0015    |        1.46         |
| equal::256    L::1 L::1 -> ?::1          | 0.0001  |   0.0001    |        1.08         |
| equal::4096   L::1 L::1 -> ?::1          | 0.0011  |   0.0007    |        1.55         |
| equal::16384  L::1 L::1 -> ?::1          | 0.0044  |   0.0027    |        1.67         |
| equal::256    Q::1 Q::1 -> ?::1          | 0.0001  |   0.0000    |         2.4         |
| equal::4096   Q::1 Q::1 -> ?::1          | 0.0011  |   0.0007    |        1.57         |
| equal::16384  Q::1 Q::1 -> ?::1          | 0.0044  |   0.0027    |        1.66         |
| equal::256    b::1 b::1 -> ?::1          | 0.0000  |   0.0001    |        0.69         |
| equal::4096   b::1 b::1 -> ?::1          | 0.0002  |   0.0001    |        1.57         |
| equal::16384  b::1 b::1 -> ?::1          | 0.0006  |   0.0005    |        1.08         |
| equal::256    h::1 h::1 -> ?::1          | 0.0000  |   0.0000    |        1.31         |
| equal::4096   h::1 h::1 -> ?::1          | 0.0003  |   0.0002    |        1.37         |
| equal::16384  h::1 h::1 -> ?::1          | 0.0011  |   0.0008    |        1.37         |
| equal::256    i::1 i::1 -> ?::1          | 0.0001  |   0.0000    |        2.03         |
| equal::4096   i::1 i::1 -> ?::1          | 0.0005  |   0.0004    |        1.43         |
| equal::16384  i::1 i::1 -> ?::1          | 0.0021  |   0.0012    |        1.69         |
| equal::256    l::1 l::1 -> ?::1          | 0.0001  |   0.0001    |        1.06         |
| equal::4096   l::1 l::1 -> ?::1          | 0.0011  |   0.0007    |        1.66         |
| equal::16384  l::1 l::1 -> ?::1          | 0.0044  |   0.0027    |        1.64         |
| equal::256    q::1 q::1 -> ?::1          | 0.0001  |   0.0001    |        1.05         |
| equal::4096   q::1 q::1 -> ?::1          | 0.0011  |   0.0007    |        1.61         |
| equal::16384  q::1 q::1 -> ?::1          | 0.0044  |   0.0027    |        1.61         |
| greater::256    B::1 B::1 -> ?::1        | 0.0000  |   0.0001    |        0.72         |
| greater::4096   B::1 B::1 -> ?::1        | 0.0001  |   0.0001    |        1.01         |
| greater::16384  B::1 B::1 -> ?::1        | 0.0006  |   0.0006    |        1.12         |
| greater::256    H::1 H::1 -> ?::1        | 0.0000  |   0.0001    |        0.74         |
| greater::4096   H::1 H::1 -> ?::1        | 0.0002  |   0.0002    |        1.29         |
| greater::16384  H::1 H::1 -> ?::1        | 0.0013  |   0.0009    |        1.47         |
| greater::256    I::1 I::1 -> ?::1        | 0.0001  |   0.0000    |        2.01         |
| greater::4096   I::1 I::1 -> ?::1        | 0.0006  |   0.0004    |        1.57         |
| greater::16384  I::1 I::1 -> ?::1        | 0.0025  |   0.0016    |        1.54         |
| greater::256    L::1 L::1 -> ?::1        | 0.0001  |   0.0001    |        1.39         |
| greater::4096   L::1 L::1 -> ?::1        | 0.0014  |   0.0008    |        1.88         |
| greater::16384  L::1 L::1 -> ?::1        | 0.0057  |   0.0027    |        2.07         |
| greater::256    Q::1 Q::1 -> ?::1        | 0.0001  |   0.0000    |        2.63         |
| greater::4096   Q::1 Q::1 -> ?::1        | 0.0015  |   0.0007    |        1.97         |
| greater::16384  Q::1 Q::1 -> ?::1        | 0.0056  |   0.0028    |        2.04         |
| greater::256    b::1 b::1 -> ?::1        | 0.0000  |   0.0001    |        0.62         |
| greater::4096   b::1 b::1 -> ?::1        | 0.0002  |   0.0001    |        1.68         |
| greater::16384  b::1 b::1 -> ?::1        | 0.0006  |   0.0005    |        1.09         |
| greater::256    h::1 h::1 -> ?::1        | 0.0000  |   0.0000    |        1.34         |
| greater::4096   h::1 h::1 -> ?::1        | 0.0003  |   0.0002    |        1.39         |
| greater::16384  h::1 h::1 -> ?::1        | 0.0011  |   0.0008    |        1.41         |
| greater::256    i::1 i::1 -> ?::1        | 0.0001  |   0.0000    |        2.13         |
| greater::4096   i::1 i::1 -> ?::1        | 0.0005  |   0.0004    |        1.48         |
| greater::16384  i::1 i::1 -> ?::1        | 0.0022  |   0.0013    |        1.72         |
| greater::256    l::1 l::1 -> ?::1        | 0.0001  |   0.0001    |        1.27         |
| greater::4096   l::1 l::1 -> ?::1        | 0.0013  |   0.0007    |        1.93         |
| greater::16384  l::1 l::1 -> ?::1        | 0.0052  |   0.0027    |        1.94         |
| greater::256    q::1 q::1 -> ?::1        | 0.0001  |   0.0001    |        1.26         |
| greater::4096   q::1 q::1 -> ?::1        | 0.0013  |   0.0007    |        1.88         |
| greater::16384  q::1 q::1 -> ?::1        | 0.0052  |   0.0027    |        1.92         |
| greater_equal::256    ?::1 ?::1 -> ?::1  | 0.0003  |   0.0003    |         1.0         |
| greater_equal::4096   ?::1 ?::1 -> ?::1  | 0.0038  |   0.0038    |         1.0         |
| greater_equal::16384  ?::1 ?::1 -> ?::1  | 0.0152  |   0.0152    |         1.0         |
| greater_equal::256    B::1 B::1 -> ?::1  | 0.0000  |   0.0001    |        0.84         |
| greater_equal::4096   B::1 B::1 -> ?::1  | 0.0001  |   0.0001    |        1.39         |
| greater_equal::16384  B::1 B::1 -> ?::1  | 0.0006  |   0.0005    |        1.15         |
| greater_equal::256    D::1 D::1 -> ?::1  | 0.0003  |   0.0003    |         1.0         |
| greater_equal::4096   D::1 D::1 -> ?::1  | 0.0153  |   0.0149    |        1.02         |
| greater_equal::16384  D::1 D::1 -> ?::1  | 0.0794  |   0.0784    |        1.01         |
| greater_equal::256    F::1 F::1 -> ?::1  | 0.0003  |   0.0003    |        1.02         |
| greater_equal::4096   F::1 F::1 -> ?::1  | 0.0146  |   0.0144    |        1.01         |
| greater_equal::16384  F::1 F::1 -> ?::1  | 0.0767  |   0.0773    |        0.99         |
| greater_equal::256    G::1 G::1 -> ?::1  | 0.0008  |   0.0008    |         1.0         |
| greater_equal::4096   G::1 G::1 -> ?::1  | 0.0250  |   0.0250    |         1.0         |
| greater_equal::16384  G::1 G::1 -> ?::1  | 0.1223  |   0.1217    |        1.01         |
| greater_equal::256    H::1 H::1 -> ?::1  | 0.0000  |   0.0001    |        0.79         |
| greater_equal::4096   H::1 H::1 -> ?::1  | 0.0003  |   0.0002    |        1.43         |
| greater_equal::16384  H::1 H::1 -> ?::1  | 0.0013  |   0.0009    |        1.47         |
| greater_equal::256    I::1 I::1 -> ?::1  | 0.0001  |   0.0000    |        2.18         |
| greater_equal::4096   I::1 I::1 -> ?::1  | 0.0006  |   0.0004    |        1.54         |
| greater_equal::16384  I::1 I::1 -> ?::1  | 0.0025  |   0.0017    |         1.5         |
| greater_equal::256    L::1 L::1 -> ?::1  | 0.0001  |   0.0001    |        1.37         |
| greater_equal::4096   L::1 L::1 -> ?::1  | 0.0014  |   0.0008    |        1.88         |
| greater_equal::16384  L::1 L::1 -> ?::1  | 0.0057  |   0.0028    |        2.04         |
| greater_equal::256    M::1 M::1 -> ?::1  | 0.0003  |   0.0003    |         1.0         |
| greater_equal::4096   M::1 M::1 -> ?::1  | 0.0049  |   0.0049    |         1.0         |
| greater_equal::16384  M::1 M::1 -> ?::1  | 0.0200  |   0.0199    |        1.01         |
| greater_equal::256    O::1 O::1 -> ?::1  | 0.0035  |   0.0035    |         1.0         |
| greater_equal::4096   O::1 O::1 -> ?::1  | 0.0639  |   0.0633    |        1.01         |
| greater_equal::16384  O::1 O::1 -> ?::1  | 0.2595  |   0.2576    |        1.01         |
| greater_equal::256    O::1 O::1 -> O::1  | 0.0035  |   0.0035    |        0.99         |
| greater_equal::4096   O::1 O::1 -> O::1  | 0.0641  |   0.0635    |        1.01         |
| greater_equal::16384  O::1 O::1 -> O::1  | 0.1287  |   0.1285    |         1.0         |
| greater_equal::256    Q::1 Q::1 -> ?::1  | 0.0001  |   0.0000    |        2.42         |
| greater_equal::4096   Q::1 Q::1 -> ?::1  | 0.0014  |   0.0008    |        1.89         |
| greater_equal::16384  Q::1 Q::1 -> ?::1  | 0.0057  |   0.0028    |        2.03         |
| greater_equal::256    b::1 b::1 -> ?::1  | 0.0000  |   0.0001    |        0.68         |
| greater_equal::4096   b::1 b::1 -> ?::1  | 0.0002  |   0.0001    |        1.59         |
| greater_equal::16384  b::1 b::1 -> ?::1  | 0.0006  |   0.0005    |        1.08         |
| greater_equal::256    d::1 d::1 -> ?::1  | 0.0001  |   0.0001    |        0.99         |
| greater_equal::4096   d::1 d::1 -> ?::1  | 0.0014  |   0.0014    |        0.98         |
| greater_equal::16384  d::1 d::1 -> ?::1  | 0.0054  |   0.0055    |        0.98         |
| greater_equal::256    e::1 e::1 -> ?::1  | 0.0019  |   0.0019    |         1.0         |
| greater_equal::4096   e::1 e::1 -> ?::1  | 0.0302  |   0.0302    |         1.0         |
| greater_equal::16384  e::1 e::1 -> ?::1  | 0.1207  |   0.1208    |         1.0         |
| greater_equal::256    f::1 f::1 -> ?::1  | 0.0000  |   0.0000    |        1.02         |
| greater_equal::4096   f::1 f::1 -> ?::1  | 0.0005  |   0.0005    |        0.98         |
| greater_equal::16384  f::1 f::1 -> ?::1  | 0.0028  |   0.0028    |        0.99         |
| greater_equal::256    g::1 g::1 -> ?::1  | 0.0005  |   0.0005    |         1.0         |
| greater_equal::4096   g::1 g::1 -> ?::1  | 0.0073  |   0.0073    |         1.0         |
| greater_equal::16384  g::1 g::1 -> ?::1  | 0.0290  |   0.0290    |         1.0         |
| greater_equal::256    h::1 h::1 -> ?::1  | 0.0000  |   0.0000    |        1.37         |
| greater_equal::4096   h::1 h::1 -> ?::1  | 0.0003  |   0.0002    |        1.38         |
| greater_equal::16384  h::1 h::1 -> ?::1  | 0.0011  |   0.0008    |        1.39         |
| greater_equal::256    i::1 i::1 -> ?::1  | 0.0001  |   0.0000    |        2.13         |
| greater_equal::4096   i::1 i::1 -> ?::1  | 0.0005  |   0.0004    |        1.31         |
| greater_equal::16384  i::1 i::1 -> ?::1  | 0.0021  |   0.0013    |        1.67         |
| greater_equal::256    l::1 l::1 -> ?::1  | 0.0001  |   0.0001    |        1.24         |
| greater_equal::4096   l::1 l::1 -> ?::1  | 0.0013  |   0.0007    |        1.91         |
| greater_equal::16384  l::1 l::1 -> ?::1  | 0.0052  |   0.0028    |        1.88         |
| greater_equal::256    m::1 m::1 -> ?::1  | 0.0003  |   0.0003    |         1.0         |
| greater_equal::4096   m::1 m::1 -> ?::1  | 0.0050  |   0.0049    |        1.02         |
| greater_equal::16384  m::1 m::1 -> ?::1  | 0.0198  |   0.0197    |        1.01         |
| greater_equal::256    q::1 q::1 -> ?::1  | 0.0001  |   0.0001    |        1.25         |
| greater_equal::4096   q::1 q::1 -> ?::1  | 0.0013  |   0.0007    |        1.78         |
| greater_equal::16384  q::1 q::1 -> ?::1  | 0.0052  |   0.0028    |        1.88         |
| invert::256    B::1 -> B::1              | 0.0000  |   0.0001    |        0.57         |
| invert::4096   B::1 -> B::1              | 0.0001  |   0.0001    |        0.79         |
| invert::16384  B::1 -> B::1              | 0.0004  |   0.0003    |        1.27         |
