metric: gmean, units: ms
+------------------------------------------+-----------+-------------+---------+-------------------------+-------------------+
| name of test                             | BASELINE  | AVX512_SKX  |  AVX2   | AVX512_SKX vs BASELINE  | AVX2 vs BASELINE  |
| bitwise_and::16384  i::1 i::1 -> i::1    |  0.0034   |   0.0022    | 0.0024  |          1.56           |       1.44        |
| bitwise_and::256    l::1 l::1 -> l::1    |  0.0001   |   0.0001    | 0.0001  |           1.8           |        1.2        |
| bitwise_and::4096   l::1 l::1 -> l::1    |  0.0018   |   0.0011    | 0.0014  |          1.64           |       1.28        |
| bitwise_and::16384  l::1 l::1 -> l::1    |  0.0071   |   0.0046    | 0.0056  |          1.55           |       1.28        |
| bitwise_and::256    q::1 q::1 -> q::1    |  0.0001   |   0.0000    | 0.0001  |          2.04           |        1.2        |
| bitwise_and::4096   q::1 q::1 -> q::1    |  0.0018   |   0.0011    | 0.0014  |          1.64           |       1.28        |
| bitwise_and::16384  q::1 q::1 -> q::1    |  0.0071   |   0.0046    | 0.0056  |          1.54           |       1.28        |
| bitwise_or::256    B::1 B::1 -> B::1     |  0.0000   |   0.0001    | 0.0000  |           0.3           |        0.5        |
| bitwise_or::4096   B::1 B::1 -> B::1     |  0.0002   |   0.0001    | 0.0002  |          1.33           |       1.05        |
| bitwise_or::16384  B::1 B::1 -> B::1     |  0.0009   |   0.0006    | 0.0007  |          1.52           |       1.28        |
| bitwise_or::256    H::1 H::1 -> H::1     |  0.0000   |   0.0000    | 0.0000  |          0.82           |       1.04        |
| bitwise_or::4096   H::1 H::1 -> H::1     |  0.0003   |   0.0002    | 0.0003  |          1.64           |       1.16        |
| bitwise_or::16384  H::1 H::1 -> H::1     |  0.0018   |   0.0011    | 0.0014  |          1.61           |       1.28        |
| bitwise_or::256    I::1 I::1 -> I::1     |  0.0000   |   0.0000    | 0.0000  |          1.81           |       0.96        |
| bitwise_or::4096   I::1 I::1 -> I::1     |  0.0009   |   0.0006    | 0.0007  |          1.62           |       1.28        |
| bitwise_or::16384  I::1 I::1 -> I::1     |  0.0036   |   0.0022    | 0.0028  |          1.64           |       1.28        |
| bitwise_or::256    L::1 L::1 -> L::1     |  0.0001   |   0.0000    | 0.0001  |          1.95           |       1.23        |
| bitwise_or::4096   L::1 L::1 -> L::1     |  0.0018   |   0.0011    | 0.0014  |          1.64           |       1.28        |
| bitwise_or::16384  L::1 L::1 -> L::1     |  0.0071   |   0.0044    | 0.0062  |          1.64           |       1.16        |
| bitwise_or::256    Q::1 Q::1 -> Q::1     |  0.0001   |   0.0000    | 0.0001  |          1.86           |       1.23        |
| bitwise_or::4096   Q::1 Q::1 -> Q::1     |  0.0013   |   0.0010    | 0.0013  |          1.32           |       1.05        |
| bitwise_or::16384  Q::1 Q::1 -> Q::1     |  0.0093   |   0.0044    | 0.0056  |          2.13           |       1.66        |
| bitwise_or::256    b::1 b::1 -> b::1     |  0.0000   |   0.0001    | 0.0000  |          0.34           |        0.5        |
| bitwise_or::4096   b::1 b::1 -> b::1     |  0.0002   |   0.0001    | 0.0001  |          1.36           |       1.09        |
| bitwise_or::16384  b::1 b::1 -> b::1     |  0.0008   |   0.0006    | 0.0007  |          1.46           |       1.18        |
| bitwise_or::256    h::1 h::1 -> h::1     |  0.0000   |   0.0000    | 0.0000  |          1.48           |       0.86        |
| bitwise_or::4096   h::1 h::1 -> h::1     |  0.0003   |   0.0002    | 0.0002  |          1.77           |       1.29        |
| bitwise_or::16384  h::1 h::1 -> h::1     |  0.0018   |   0.0011    | 0.0014  |          1.64           |       1.28        |
| bitwise_or::256    i::1 i::1 -> i::1     |  0.0000   |   0.0000    | 0.0000  |          1.91           |       0.97        |
| bitwise_or::4096   i::1 i::1 -> i::1     |  0.0009   |   0.0006    | 0.0007  |          1.61           |       1.29        |
| bitwise_or::16384  i::1 i::1 -> i::1     |  0.0034   |   0.0022    | 0.0024  |          1.56           |       1.44        |
| bitwise_or::256    l::1 l::1 -> l::1     |  0.0001   |   0.0000    | 0.0001  |          1.99           |       1.31        |
| bitwise_or::4096   l::1 l::1 -> l::1     |  0.0018   |   0.0011    | 0.0014  |          1.64           |       1.28        |
| bitwise_or::16384  l::1 l::1 -> l::1     |  0.0071   |   0.0046    | 0.0056  |          1.55           |       1.28        |
| bitwise_or::256    q::1 q::1 -> q::1     |  0.0001   |   0.0000    | 0.0001  |          1.86           |       1.33        |
| bitwise_or::4096   q::1 q::1 -> q::1     |  0.0018   |   0.0011    | 0.0014  |          1.64           |       1.28        |
| bitwise_or::16384  q::1 q::1 -> q::1     |  0.0071   |   0.0047    | 0.0056  |          1.53           |       1.28        |
| bitwise_xor::256    B::1 B::1 -> B::1    |  0.0000   |   0.0000    | 0.0000  |          0.41           |        0.5        |
| bitwise_xor::4096   B::1 B::1 -> B::1    |  0.0002   |   0.0001    | 0.0002  |          1.33           |       1.05        |
