metric: gmean, units: ms
+------------------------------------------+-----------+-------------+---------+-------------------------+-------------------+
| name of test                             | BASELINE  | AVX512_SKX  |  AVX2   | AVX512_SKX vs BASELINE  | AVX2 vs BASELINE  |
| greater_equal::16384  I::1 I::1 -> ?::1  |  0.0041   |   0.0017    | 0.0025  |          2.45           |       1.63        |
| greater_equal::256    L::1 L::1 -> ?::1  |  0.0002   |   0.0001    | 0.0001  |          2.16           |       1.51        |
| greater_equal::4096   L::1 L::1 -> ?::1  |  0.0024   |   0.0008    | 0.0014  |          3.24           |       1.72        |
| greater_equal::16384  L::1 L::1 -> ?::1  |  0.0097   |   0.0028    | 0.0057  |          3.48           |       1.71        |
| greater_equal::256    M::1 M::1 -> ?::1  |  0.0003   |   0.0003    | 0.0003  |           1.0           |        1.0        |
| greater_equal::4096   M::1 M::1 -> ?::1  |  0.0049   |   0.0049    | 0.0049  |           1.0           |        1.0        |
| greater_equal::16384  M::1 M::1 -> ?::1  |  0.0199   |   0.0199    | 0.0197  |           1.0           |       1.01        |
| greater_equal::256    O::1 O::1 -> ?::1  |  0.0035   |   0.0035    | 0.0036  |           1.0           |       0.99        |
| greater_equal::4096   O::1 O::1 -> ?::1  |  0.0635   |   0.0633    | 0.0633  |           1.0           |        1.0        |
| greater_equal::16384  O::1 O::1 -> ?::1  |  0.2574   |   0.2576    | 0.2572  |           1.0           |        1.0        |
| greater_equal::256    O::1 O::1 -> O::1  |  0.0035   |   0.0035    | 0.0036  |          0.99           |       0.99        |
| greater_equal::4096   O::1 O::1 -> O::1  |  0.0637   |   0.0635    | 0.0635  |           1.0           |        1.0        |
| greater_equal::16384  O::1 O::1 -> O::1  |  0.1281   |   0.1285    | 0.1286  |           1.0           |        1.0        |
| greater_equal::256    Q::1 Q::1 -> ?::1  |  0.0002   |   0.0000    | 0.0001  |          3.78           |        1.6        |
| greater_equal::4096   Q::1 Q::1 -> ?::1  |  0.0024   |   0.0008    | 0.0015  |           3.2           |       1.68        |
| greater_equal::16384  Q::1 Q::1 -> ?::1  |  0.0098   |   0.0028    | 0.0057  |          3.48           |       1.71        |
| greater_equal::256    b::1 b::1 -> ?::1  |  0.0000   |   0.0001    | 0.0000  |          0.36           |       0.55        |
| greater_equal::4096   b::1 b::1 -> ?::1  |  0.0002   |   0.0001    | 0.0001  |          1.79           |       1.14        |
| greater_equal::16384  b::1 b::1 -> ?::1  |  0.0007   |   0.0005    | 0.0006  |           1.3           |       1.25        |
| greater_equal::256    d::1 d::1 -> ?::1  |  0.0001   |   0.0001    | 0.0001  |          0.98           |       1.01        |
| greater_equal::4096   d::1 d::1 -> ?::1  |  0.0014   |   0.0014    | 0.0014  |          0.99           |       0.99        |
| greater_equal::16384  d::1 d::1 -> ?::1  |  0.0055   |   0.0055    | 0.0055  |          0.99           |       0.99        |
| greater_equal::256    e::1 e::1 -> ?::1  |  0.0019   |   0.0019    | 0.0019  |           1.0           |        1.0        |
| greater_equal::4096   e::1 e::1 -> ?::1  |  0.0302   |   0.0302    | 0.0302  |           1.0           |        1.0        |
| greater_equal::16384  e::1 e::1 -> ?::1  |  0.1208   |   0.1208    | 0.1208  |           1.0           |        1.0        |
| greater_equal::256    f::1 f::1 -> ?::1  |  0.0000   |   0.0000    | 0.0000  |          1.05           |       1.05        |
| greater_equal::4096   f::1 f::1 -> ?::1  |  0.0005   |   0.0005    | 0.0005  |          0.98           |        1.0        |
| greater_equal::16384  f::1 f::1 -> ?::1  |  0.0028   |   0.0028    | 0.0027  |           1.0           |       1.03        |
| greater_equal::256    g::1 g::1 -> ?::1  |  0.0005   |   0.0005    | 0.0005  |           1.0           |        1.0        |
| greater_equal::4096   g::1 g::1 -> ?::1  |  0.0073   |   0.0073    | 0.0073  |           1.0           |        1.0        |
| greater_equal::16384  g::1 g::1 -> ?::1  |  0.0290   |   0.0290    | 0.0290  |           1.0           |        1.0        |
| greater_equal::256    h::1 h::1 -> ?::1  |  0.0000   |   0.0000    | 0.0000  |          1.48           |       0.56        |
| greater_equal::4096   h::1 h::1 -> ?::1  |  0.0003   |   0.0002    | 0.0002  |          1.44           |       1.18        |
| greater_equal::16384  h::1 h::1 -> ?::1  |  0.0013   |   0.0008    | 0.0012  |          1.69           |       1.16        |
| greater_equal::256    i::1 i::1 -> ?::1  |  0.0001   |   0.0000    | 0.0001  |          2.34           |       1.13        |
| greater_equal::4096   i::1 i::1 -> ?::1  |  0.0009   |   0.0004    | 0.0005  |          2.22           |        1.7        |
| greater_equal::16384  i::1 i::1 -> ?::1  |  0.0034   |   0.0013    | 0.0022  |          2.66           |       1.56        |
| greater_equal::256    l::1 l::1 -> ?::1  |  0.0002   |   0.0001    | 0.0001  |          2.33           |       1.84        |
| greater_equal::4096   l::1 l::1 -> ?::1  |  0.0025   |   0.0007    | 0.0013  |          3.54           |       1.86        |
| greater_equal::16384  l::1 l::1 -> ?::1  |  0.0097   |   0.0028    | 0.0052  |          3.52           |       1.88        |
| greater_equal::256    m::1 m::1 -> ?::1  |  0.0003   |   0.0003    | 0.0003  |           1.0           |        1.0        |
| greater_equal::4096   m::1 m::1 -> ?::1  |  0.0050   |   0.0049    | 0.0049  |          1.02           |       1.02        |
| greater_equal::16384  m::1 m::1 -> ?::1  |  0.0197   |   0.0197    | 0.0195  |           1.0           |       1.01        |
| greater_equal::256    q::1 q::1 -> ?::1  |  0.0002   |   0.0001    | 0.0001  |          2.32           |       1.89        |
| greater_equal::4096   q::1 q::1 -> ?::1  |  0.0025   |   0.0007    | 0.0013  |          3.28           |       1.85        |
| greater_equal::16384  q::1 q::1 -> ?::1  |  0.0097   |   0.0028    | 0.0052  |          3.53           |       1.88        |
| invert::256    B::1 -> B::1              |  0.0000   |   0.0001    | 0.0000  |          0.28           |       0.47        |
| invert::4096   B::1 -> B::1              |  0.0002   |   0.0001    | 0.0001  |          1.31           |       1.42        |
| invert::16384  B::1 -> B::1              |  0.0006   |   0.0003    | 0.0004  |          1.91           |       1.59        |
| invert::256    H::1 -> H::1              |  0.0000   |   0.0000    | 0.0000  |          0.88           |       1.23        |
| invert::4096   H::1 -> H::1              |  0.0003   |   0.0001    | 0.0002  |          2.35           |       1.66        |
| invert::16384  H::1 -> H::1              |  0.0012   |   0.0008    | 0.0009  |          1.43           |       1.28        |
| invert::256    I::1 -> I::1              |  0.0000   |   0.0000    | 0.0000  |          1.95           |       1.17        |
| invert::4096   I::1 -> I::1              |  0.0006   |   0.0003    | 0.0004  |          2.07           |       1.56        |
| invert::16384  I::1 -> I::1              |  0.0023   |   0.0016    | 0.0019  |           1.4           |       1.23        |
| invert::256    L::1 -> L::1              |  0.0001   |   0.0000    | 0.0001  |          2.16           |       1.42        |
| invert::4096   L::1 -> L::1              |  0.0012   |   0.0008    | 0.0009  |          1.44           |       1.29        |
| invert::16384  L::1 -> L::1              |  0.0047   |   0.0033    | 0.0037  |          1.44           |       1.28        |
| invert::256    Q::1 -> Q::1              |  0.0001   |   0.0000    | 0.0001  |          2.39           |       1.41        |
| invert::4096   Q::1 -> Q::1              |  0.0012   |   0.0008    | 0.0016  |          1.44           |       0.76        |
| invert::16384  Q::1 -> Q::1              |  0.0047   |   0.0033    | 0.0037  |          1.43           |       1.28        |
| invert::256    b::1 -> b::1              |  0.0000   |   0.0001    | 0.0000  |          0.24           |       0.49        |
| invert::4096   b::1 -> b::1              |  0.0001   |   0.0001    | 0.0001  |           1.2           |        1.2        |
| invert::16384  b::1 -> b::1              |  0.0005   |   0.0003    | 0.0004  |          1.56           |       1.21        |
| invert::256    h::1 -> h::1              |  0.0000   |   0.0000    | 0.0000  |          1.77           |       0.86        |
| invert::4096   h::1 -> h::1              |  0.0002   |   0.0001    | 0.0002  |          2.04           |       1.46        |
| invert::16384  h::1 -> h::1              |  0.0012   |   0.0008    | 0.0010  |          1.45           |       1.25        |
| invert::256    i::1 -> i::1              |  0.0000   |   0.0000    | 0.0000  |          1.53           |       1.16        |
| invert::4096   i::1 -> i::1              |  0.0006   |   0.0003    | 0.0004  |          2.03           |        1.5        |
| invert::16384  i::1 -> i::1              |  0.0021   |   0.0014    | 0.0019  |          1.46           |       1.08        |
| invert::256    l::1 -> l::1              |  0.0001   |   0.0000    | 0.0000  |          2.23           |       1.55        |
| invert::4096   l::1 -> l::1              |  0.0012   |   0.0008    | 0.0009  |          1.44           |       1.27        |
| invert::16384  l::1 -> l::1              |  0.0047   |   0.0033    | 0.0037  |          1.45           |       1.27        |
| invert::256    q::1 -> q::1              |  0.0001   |   0.0000    | 0.0000  |          2.29           |       1.55        |
| invert::4096   q::1 -> q::1              |  0.0012   |   0.0008    | 0.0009  |          1.45           |       1.27        |
| invert::16384  q::1 -> q::1              |  0.0047   |   0.0033    | 0.0037  |          1.44           |       1.28        |
| left_shift::256    B::1 B::1 -> B::1     |  0.0002   |   0.0001    | 0.0001  |          1.92           |       2.15        |
| left_shift::4096   B::1 B::1 -> B::1     |  0.0024   |   0.0006    | 0.0009  |          3.94           |       2.62        |
| left_shift::16384  B::1 B::1 -> B::1     |  0.0098   |   0.0023    | 0.0036  |          4.19           |       2.72        |
| left_shift::256    H::1 H::1 -> H::1     |  0.0002   |   0.0001    | 0.0000  |          3.09           |       3.59        |
| left_shift::4096   H::1 H::1 -> H::1     |  0.0024   |   0.0004    | 0.0007  |          5.64           |       3.34        |
| left_shift::16384  H::1 H::1 -> H::1     |  0.0109   |   0.0017    | 0.0029  |          6.28           |       3.79        |
| left_shift::256    I::1 I::1 -> I::1     |  0.0002   |   0.0000    | 0.0001  |          7.48           |       4.16        |
| left_shift::4096   I::1 I::1 -> I::1     |  0.0036   |   0.0006    | 0.0007  |          6.46           |       4.99        |
| left_shift::16384  I::1 I::1 -> I::1     |  0.0145   |   0.0022    | 0.0028  |          6.68           |       5.11        |
| left_shift::256    L::1 L::1 -> L::1     |  0.0002   |   0.0000    | 0.0001  |          4.94           |       2.65        |
| left_shift::4096   L::1 L::1 -> L::1     |  0.0036   |   0.0011    | 0.0015  |          3.28           |       2.46        |
| left_shift::16384  L::1 L::1 -> L::1     |  0.0145   |   0.0044    | 0.0067  |          3.31           |       2.17        |
| left_shift::256    Q::1 Q::1 -> Q::1     |  0.0002   |   0.0000    | 0.0001  |          5.07           |       2.63        |
| left_shift::4096   Q::1 Q::1 -> Q::1     |  0.0036   |   0.0011    | 0.0014  |          3.26           |       2.69        |
| left_shift::16384  Q::1 Q::1 -> Q::1     |  0.0157   |   0.0044    | 0.0059  |          3.57           |       2.66        |
| left_shift::256    b::1 b::1 -> b::1     |  0.0002   |   0.0001    | 0.0001  |          1.51           |       2.08        |
| left_shift::4096   b::1 b::1 -> b::1     |  0.0024   |   0.0006    | 0.0009  |          3.92           |       2.68        |
| left_shift::16384  b::1 b::1 -> b::1     |  0.0097   |   0.0023    | 0.0035  |          4.28           |       2.78        |
| left_shift::256    h::1 h::1 -> h::1     |  0.0002   |   0.0000    | 0.0001  |          7.53           |       4.09        |
| left_shift::4096   h::1 h::1 -> h::1     |  0.0036   |   0.0004    | 0.0006  |          9.24           |       5.73        |
| left_shift::16384  h::1 h::1 -> h::1     |  0.0145   |   0.0017    | 0.0029  |          8.51           |       5.07        |
| left_shift::256    i::1 i::1 -> i::1     |  0.0002   |   0.0000    | 0.0001  |           4.9           |       2.95        |
| left_shift::4096   i::1 i::1 -> i::1     |  0.0027   |   0.0006    | 0.0007  |          4.66           |       3.67        |
| left_shift::16384  i::1 i::1 -> i::1     |  0.0103   |   0.0021    | 0.0026  |          4.96           |       4.01        |
| left_shift::256    l::1 l::1 -> l::1     |  0.0002   |   0.0001    | 0.0001  |          4.11           |        2.7        |
| left_shift::4096   l::1 l::1 -> l::1     |  0.0036   |   0.0011    | 0.0015  |          3.32           |       2.46        |
| left_shift::16384  l::1 l::1 -> l::1     |  0.0145   |   0.0047    | 0.0059  |          3.09           |       2.46        |
| left_shift::256    q::1 q::1 -> q::1     |  0.0002   |   0.0001    | 0.0001  |          4.25           |        2.7        |
| left_shift::4096   q::1 q::1 -> q::1     |  0.0036   |   0.0011    | 0.0015  |          3.32           |       2.45        |
| left_shift::16384  q::1 q::1 -> q::1     |  0.0145   |   0.0047    | 0.0059  |          3.08           |       2.46        |
| less::256    B::1 B::1 -> ?::1           |  0.0000   |   0.0001    | 0.0000  |          0.36           |       0.48        |
| less::4096   B::1 B::1 -> ?::1           |  0.0002   |   0.0001    | 0.0002  |          1.28           |       1.01        |
| less::16384  B::1 B::1 -> ?::1           |  0.0008   |   0.0005    | 0.0006  |          1.43           |       1.32        |
| less::256    H::1 H::1 -> ?::1           |  0.0000   |   0.0001    | 0.0000  |          0.53           |        1.2        |
| less::4096   H::1 H::1 -> ?::1           |  0.0003   |   0.0002    | 0.0003  |          1.62           |       1.12        |
| less::16384  H::1 H::1 -> ?::1           |  0.0014   |   0.0009    | 0.0012  |          1.65           |       1.15        |
| less::256    I::1 I::1 -> ?::1           |  0.0001   |   0.0000    | 0.0001  |          2.35           |       1.15        |
| less::4096   I::1 I::1 -> ?::1           |  0.0010   |   0.0004    | 0.0006  |           2.5           |       1.62        |
| less::16384  I::1 I::1 -> ?::1           |  0.0041   |   0.0016    | 0.0025  |          2.54           |       1.63        |
| less::256    L::1 L::1 -> ?::1           |  0.0002   |   0.0001    | 0.0001  |          2.23           |        1.5        |
| less::4096   L::1 L::1 -> ?::1           |  0.0024   |   0.0008    | 0.0014  |          3.24           |       1.73        |
| less::16384  L::1 L::1 -> ?::1           |  0.0097   |   0.0028    | 0.0057  |          3.51           |       1.72        |
| less::256    Q::1 Q::1 -> ?::1           |  0.0002   |   0.0000    | 0.0001  |          4.03           |       1.59        |
| less::4096   Q::1 Q::1 -> ?::1           |  0.0025   |   0.0007    | 0.0014  |          3.33           |       1.72        |
| less::16384  Q::1 Q::1 -> ?::1           |  0.0098   |   0.0028    | 0.0057  |          3.51           |       1.71        |
| less::256    b::1 b::1 -> ?::1           |  0.0000   |   0.0001    | 0.0000  |          0.37           |       0.55        |
| less::4096   b::1 b::1 -> ?::1           |  0.0002   |   0.0001    | 0.0001  |          1.88           |       1.14        |
| less::16384  b::1 b::1 -> ?::1           |  0.0007   |   0.0005    | 0.0006  |          1.31           |       1.24        |
| less::256    h::1 h::1 -> ?::1           |  0.0000   |   0.0000    | 0.0000  |           1.5           |       0.64        |
| less::4096   h::1 h::1 -> ?::1           |  0.0003   |   0.0002    | 0.0002  |          1.44           |       1.17        |
| less::16384  h::1 h::1 -> ?::1           |  0.0013   |   0.0008    | 0.0012  |          1.68           |       1.16        |
| less::256    i::1 i::1 -> ?::1           |  0.0001   |   0.0000    | 0.0001  |          2.31           |       1.13        |
| less::4096   i::1 i::1 -> ?::1           |  0.0009   |   0.0004    | 0.0005  |          2.44           |        1.7        |
| less::16384  i::1 i::1 -> ?::1           |  0.0034   |   0.0013    | 0.0022  |          2.66           |       1.56        |
| less::256    l::1 l::1 -> ?::1           |  0.0002   |   0.0001    | 0.0001  |          2.38           |       1.85        |
| less::4096   l::1 l::1 -> ?::1           |  0.0025   |   0.0007    | 0.0013  |          3.64           |       1.88        |
| less::16384  l::1 l::1 -> ?::1           |  0.0097   |   0.0027    | 0.0052  |          3.62           |       1.88        |
| less::256    q::1 q::1 -> ?::1           |  0.0002   |   0.0001    | 0.0001  |          2.35           |       1.89        |
| less::4096   q::1 q::1 -> ?::1           |  0.0025   |   0.0007    | 0.0013  |          3.43           |       1.86        |
| less::16384  q::1 q::1 -> ?::1           |  0.0097   |   0.0027    | 0.0052  |           3.6           |       1.88        |
| less_equal::256    ?::1 ?::1 -> ?::1     |  0.0003   |   0.0003    | 0.0003  |          0.98           |       1.01        |
| less_equal::4096   ?::1 ?::1 -> ?::1     |  0.0042   |   0.0042    | 0.0042  |           1.0           |        1.0        |
| less_equal::16384  ?::1 ?::1 -> ?::1     |  0.0167   |   0.0166    | 0.0166  |           1.0           |        1.0        |
| less_equal::256    B::1 B::1 -> ?::1     |  0.0000   |   0.0001    | 0.0000  |          0.39           |       0.53        |
| less_equal::4096   B::1 B::1 -> ?::1     |  0.0002   |   0.0001    | 0.0002  |           1.7           |       1.16        |
| less_equal::16384  B::1 B::1 -> ?::1     |  0.0008   |   0.0005    | 0.0006  |          1.46           |       1.33        |
| less_equal::256    D::1 D::1 -> ?::1     |  0.0003   |   0.0003    | 0.0003  |          1.02           |        1.0        |
| less_equal::4096   D::1 D::1 -> ?::1     |  0.0143   |   0.0144    | 0.0144  |           1.0           |        1.0        |
| less_equal::16384  D::1 D::1 -> ?::1     |  0.0778   |   0.0773    | 0.0777  |          1.01           |        1.0        |
| less_equal::256    F::1 F::1 -> ?::1     |  0.0003   |   0.0003    | 0.0003  |          1.05           |        1.0        |
| less_equal::4096   F::1 F::1 -> ?::1     |  0.0144   |   0.0145    | 0.0147  |          0.99           |       0.98        |
| less_equal::16384  F::1 F::1 -> ?::1     |  0.0764   |   0.0775    | 0.0766  |          0.99           |        1.0        |
| less_equal::256    G::1 G::1 -> ?::1     |  0.0008   |   0.0008    | 0.0008  |          0.97           |       1.02        |
| less_equal::4096   G::1 G::1 -> ?::1     |  0.0233   |   0.0241    | 0.0239  |          0.97           |       0.97        |
| less_equal::16384  G::1 G::1 -> ?::1     |  0.1226   |   0.1229    | 0.1233  |           1.0           |       0.99        |
| less_equal::256    H::1 H::1 -> ?::1     |  0.0000   |   0.0001    | 0.0000  |          0.52           |       1.19        |
| less_equal::4096   H::1 H::1 -> ?::1     |  0.0003   |   0.0002    | 0.0003  |          1.78           |       1.25        |
| less_equal::16384  H::1 H::1 -> ?::1     |  0.0014   |   0.0009    | 0.0012  |          1.69           |       1.16        |
| less_equal::256    I::1 I::1 -> ?::1     |  0.0001   |   0.0000    | 0.0001  |          2.53           |        1.2        |
| less_equal::4096   I::1 I::1 -> ?::1     |  0.0010   |   0.0004    | 0.0006  |          2.57           |       1.68        |
| less_equal::16384  I::1 I::1 -> ?::1     |  0.0042   |   0.0016    | 0.0024  |          2.58           |       1.72        |
| less_equal::256    L::1 L::1 -> ?::1     |  0.0002   |   0.0001    | 0.0001  |          2.11           |        1.5        |
| less_equal::4096   L::1 L::1 -> ?::1     |  0.0025   |   0.0008    | 0.0014  |           3.2           |       1.73        |
| less_equal::16384  L::1 L::1 -> ?::1     |  0.0101   |   0.0029    | 0.0057  |          3.46           |       1.76        |
| less_equal::256    M::1 M::1 -> ?::1     |  0.0003   |   0.0003    | 0.0003  |          0.99           |        1.0        |
| less_equal::4096   M::1 M::1 -> ?::1     |  0.0049   |   0.0049    | 0.0049  |           1.0           |        1.0        |
| less_equal::16384  M::1 M::1 -> ?::1     |  0.0199   |   0.0199    | 0.0197  |           1.0           |       1.01        |
| less_equal::256    O::1 O::1 -> ?::1     |  0.0035   |   0.0035    | 0.0035  |          1.02           |       1.02        |
| less_equal::4096   O::1 O::1 -> ?::1     |  0.0636   |   0.0636    | 0.0636  |           1.0           |        1.0        |
| less_equal::16384  O::1 O::1 -> ?::1     |  0.2576   |   0.2590    | 0.2583  |          0.99           |        1.0        |
| less_equal::256    O::1 O::1 -> O::1     |  0.0035   |   0.0035    | 0.0035  |          1.01           |       1.01        |
| less_equal::4096   O::1 O::1 -> O::1     |  0.0637   |   0.0637    | 0.0637  |           1.0           |        1.0        |
| less_equal::16384  O::1 O::1 -> O::1     |  0.1281   |   0.1292    | 0.1290  |          0.99           |       0.99        |
| less_equal::256    Q::1 Q::1 -> ?::1     |  0.0002   |   0.0000    | 0.0001  |          3.89           |       1.58        |
| less_equal::4096   Q::1 Q::1 -> ?::1     |  0.0025   |   0.0008    | 0.0015  |          3.17           |        1.7        |
| less_equal::16384  Q::1 Q::1 -> ?::1     |  0.0103   |   0.0029    | 0.0058  |          3.58           |       1.79        |
| less_equal::256    b::1 b::1 -> ?::1     |  0.0000   |   0.0001    | 0.0000  |          0.44           |       0.65        |
| less_equal::4096   b::1 b::1 -> ?::1     |  0.0002   |   0.0001    | 0.0001  |          2.58           |       1.64        |
| less_equal::16384  b::1 b::1 -> ?::1     |  0.0009   |   0.0005    | 0.0006  |           1.7           |       1.66        |
| less_equal::256    d::1 d::1 -> ?::1     |  0.0001   |   0.0001    | 0.0001  |           1.0           |        1.0        |
| less_equal::4096   d::1 d::1 -> ?::1     |  0.0014   |   0.0014    | 0.0014  |          1.03           |       1.02        |
| less_equal::16384  d::1 d::1 -> ?::1     |  0.0055   |   0.0054    | 0.0054  |          1.03           |       1.02        |
| less_equal::256    e::1 e::1 -> ?::1     |  0.0019   |   0.0019    | 0.0019  |           1.0           |        1.0        |
| less_equal::4096   e::1 e::1 -> ?::1     |  0.0302   |   0.0302    | 0.0302  |           1.0           |        1.0        |
| less_equal::16384  e::1 e::1 -> ?::1     |  0.1212   |   0.1211    | 0.1211  |           1.0           |        1.0        |
| less_equal::256    f::1 f::1 -> ?::1     |  0.0000   |   0.0000    | 0.0000  |          1.04           |       1.04        |
| less_equal::4096   f::1 f::1 -> ?::1     |  0.0005   |   0.0005    | 0.0005  |          0.97           |       1.01        |
| less_equal::16384  f::1 f::1 -> ?::1     |  0.0027   |   0.0027    | 0.0028  |          0.99           |       0.97        |
| less_equal::256    g::1 g::1 -> ?::1     |  0.0005   |   0.0005    | 0.0005  |           1.0           |        1.0        |
| less_equal::4096   g::1 g::1 -> ?::1     |  0.0073   |   0.0073    | 0.0073  |           1.0           |        1.0        |
| less_equal::16384  g::1 g::1 -> ?::1     |  0.0290   |   0.0290    | 0.0290  |           1.0           |        1.0        |
| less_equal::256    h::1 h::1 -> ?::1     |  0.0000   |   0.0000    | 0.0000  |          1.66           |       0.73        |
| less_equal::4096   h::1 h::1 -> ?::1     |  0.0003   |   0.0002    | 0.0002  |          1.63           |       1.34        |
| less_equal::16384  h::1 h::1 -> ?::1     |  0.0013   |   0.0008    | 0.0012  |          1.66           |       1.16        |
| less_equal::256    i::1 i::1 -> ?::1     |  0.0001   |   0.0000    | 0.0001  |          2.26           |       1.05        |
| less_equal::4096   i::1 i::1 -> ?::1     |  0.0009   |   0.0004    | 0.0005  |           2.2           |       1.65        |
| less_equal::16384  i::1 i::1 -> ?::1     |  0.0034   |   0.0013    | 0.0022  |          2.63           |       1.54        |
| less_equal::256    l::1 l::1 -> ?::1     |  0.0002   |   0.0001    | 0.0001  |          2.36           |       1.84        |
| less_equal::4096   l::1 l::1 -> ?::1     |  0.0025   |   0.0007    | 0.0013  |          3.56           |       1.84        |
| less_equal::16384  l::1 l::1 -> ?::1     |  0.0100   |   0.0028    | 0.0052  |          3.64           |       1.93        |
| less_equal::256    m::1 m::1 -> ?::1     |  0.0003   |   0.0003    | 0.0003  |           1.0           |        1.0        |
| less_equal::4096   m::1 m::1 -> ?::1     |  0.0050   |   0.0049    | 0.0049  |          1.02           |       1.02        |
| less_equal::16384  m::1 m::1 -> ?::1     |  0.0197   |   0.0197    | 0.0195  |           1.0           |       1.01        |
| less_equal::256    q::1 q::1 -> ?::1     |  0.0002   |   0.0001    | 0.0001  |          2.32           |       1.87        |
| less_equal::4096   q::1 q::1 -> ?::1     |  0.0024   |   0.0007    | 0.0013  |          3.31           |       1.84        |
| less_equal::16384  q::1 q::1 -> ?::1     |  0.0097   |   0.0028    | 0.0053  |           3.5           |       1.85        |
| logical_not::256    B::1 -> ?::1         |  0.0000   |   0.0000    | 0.0000  |           0.4           |       0.61        |
| logical_not::4096   B::1 -> ?::1         |  0.0002   |   0.0001    | 0.0001  |          1.69           |       1.44        |
| logical_not::16384  B::1 -> ?::1         |  0.0006   |   0.0002    | 0.0004  |          2.69           |       1.59        |
| logical_not::256    H::1 -> ?::1         |  0.0000   |   0.0000    | 0.0000  |           0.6           |       1.38        |
| logical_not::4096   H::1 -> ?::1         |  0.0003   |   0.0002    | 0.0002  |          1.84           |       1.69        |
| logical_not::16384  H::1 -> ?::1         |  0.0012   |   0.0006    | 0.0007  |          2.02           |       1.64        |
| logical_not::256    I::1 -> ?::1         |  0.0001   |   0.0000    | 0.0000  |           2.9           |       1.27        |
| logical_not::4096   I::1 -> ?::1         |  0.0008   |   0.0003    | 0.0003  |          2.95           |       2.61        |
| logical_not::16384  I::1 -> ?::1         |  0.0033   |   0.0011    | 0.0016  |          3.17           |       2.08        |
| logical_not::256    L::1 -> ?::1         |  0.0001   |   0.0001    | 0.0001  |          2.23           |       1.69        |
| logical_not::4096   L::1 -> ?::1         |  0.0019   |   0.0004    | 0.0010  |          4.32           |       1.95        |
| logical_not::16384  L::1 -> ?::1         |  0.0078   |   0.0017    | 0.0040  |          4.71           |       1.96        |
| logical_not::256    Q::1 -> ?::1         |  0.0001   |   0.0000    | 0.0001  |          4.34           |       1.68        |
| logical_not::4096   Q::1 -> ?::1         |  0.0019   |   0.0004    | 0.0010  |          4.31           |       1.94        |
| logical_not::16384  Q::1 -> ?::1         |  0.0078   |   0.0017    | 0.0040  |          4.65           |       1.96        |
| logical_not::256    b::1 -> ?::1         |  0.0000   |   0.0001    | 0.0000  |          0.37           |       0.75        |
| logical_not::4096   b::1 -> ?::1         |  0.0002   |   0.0001    | 0.0001  |          2.02           |       1.45        |
| logical_not::16384  b::1 -> ?::1         |  0.0006   |   0.0003    | 0.0004  |          1.85           |       1.61        |
| logical_not::256    h::1 -> ?::1         |  0.0000   |   0.0000    | 0.0000  |          1.85           |       0.78        |
| logical_not::4096   h::1 -> ?::1         |  0.0003   |   0.0002    | 0.0002  |          1.48           |       1.56        |
| logical_not::16384  h::1 -> ?::1         |  0.0011   |   0.0006    | 0.0008  |          1.98           |        1.5        |
| logical_not::256    i::1 -> ?::1         |  0.0001   |   0.0000    | 0.0000  |          2.87           |       1.27        |
| logical_not::4096   i::1 -> ?::1         |  0.0008   |   0.0003    | 0.0003  |          2.92           |       2.61        |
| logical_not::16384  i::1 -> ?::1         |  0.0033   |   0.0011    | 0.0016  |          3.15           |       2.08        |
| logical_not::256    l::1 -> ?::1         |  0.0002   |   0.0001    | 0.0001  |          2.88           |       2.48        |
| logical_not::4096   l::1 -> ?::1         |  0.0024   |   0.0004    | 0.0010  |          5.75           |       2.41        |
| logical_not::16384  l::1 -> ?::1         |  0.0097   |   0.0017    | 0.0039  |          5.77           |       2.45        |
| logical_not::256    q::1 -> ?::1         |  0.0002   |   0.0001    | 0.0001  |          2.85           |       2.47        |
| logical_not::4096   q::1 -> ?::1         |  0.0024   |   0.0004    | 0.0010  |          5.44           |       2.42        |
| logical_not::16384  q::1 -> ?::1         |  0.0097   |   0.0017    | 0.0039  |          5.77           |       2.45        |
| logical_xor::256    B::1 B::1 -> ?::1    |  0.0002   |   0.0002    | 0.0002  |           1.0           |        1.0        |
| logical_xor::4096   B::1 B::1 -> ?::1    |  0.0036   |   0.0035    | 0.0036  |           1.0           |        1.0        |
| logical_xor::16384  B::1 B::1 -> ?::1    |  0.0142   |   0.0142    | 0.0142  |           1.0           |        1.0        |
| logical_xor::256    H::1 H::1 -> ?::1    |  0.0002   |   0.0002    | 0.0002  |           1.0           |        1.0        |
| logical_xor::4096   H::1 H::1 -> ?::1    |  0.0036   |   0.0036    | 0.0036  |           1.0           |        1.0        |
| logical_xor::16384  H::1 H::1 -> ?::1    |  0.0142   |   0.0143    | 0.0143  |           1.0           |       0.99        |
| logical_xor::256    I::1 I::1 -> ?::1    |  0.0003   |   0.0003    | 0.0003  |           1.0           |        1.0        |
| logical_xor::4096   I::1 I::1 -> ?::1    |  0.0040   |   0.0040    | 0.0040  |           1.0           |        1.0        |
| logical_xor::16384  I::1 I::1 -> ?::1    |  0.0158   |   0.0158    | 0.0158  |           1.0           |        1.0        |
| logical_xor::256    L::1 L::1 -> ?::1    |  0.0002   |   0.0002    | 0.0002  |           1.0           |       0.99        |
